id,name,highway,oneway,lane_count,lane_source,estimated_road_width_m,maxspeed,surface,turn_lanes
way/13284694,Brynhurst Avenue,residential,False,2,inferred,6.8,,asphalt,
way/13284702,Brynhurst Avenue,residential,False,2,inferred,6.8,,paved,
way/13284710,Brynhurst Avenue,residential,False,2,inferred,6.8,,,
way/13290818,Long Street,residential,False,2,inferred,6.8,,,
way/13314573,Chanson Drive,residential,False,2,inferred,6.8,,,
way/13318252,10th Avenue,residential,False,2,inferred,6.8,,,
way/13318254,10th Avenue,residential,False,2,inferred,6.8,,,
way/13318256,10th Avenue,residential,False,2,inferred,6.8,,,
way/13330595,Floresta Way,residential,False,2,inferred,6.8,,,
way/13334079,Floresta Avenue,residential,False,2,inferred,6.8,,,
way/13350737,Southwest Drive,tertiary,False,2,osm,6.8,30 mph,,
way/13351172,West 62nd Street,residential,False,2,inferred,6.8,,,
way/13351184,West 62nd Street,residential,False,2,inferred,6.8,,,
way/13362383,Madden Avenue,residential,False,2,inferred,6.8,,,
way/13364995,7th Avenue,residential,False,2,inferred,6.8,,,
way/13365011,7th Avenue,residential,False,2,inferred,6.8,,,
way/13365731,East Brett Street,residential,False,2,inferred,6.8,,,
way/13366212,West 61st Street,residential,False,2,inferred,6.8,,,
way/13369424,9th Avenue,residential,False,2,inferred,6.8,,,
way/13392261,West 64th Street,residential,False,2,inferred,6.8,,,
way/13392493,5th Avenue,residential,False,2,inferred,6.8,,,
way/13392502,5th Avenue,residential,False,2,inferred,6.8,,asphalt,
way/13392821,West 60th Street,residential,False,2,osm,6.8,,asphalt,
way/13401387,11th Avenue,residential,False,2,inferred,6.8,,,
way/13418324,Deane Avenue,residential,False,2,inferred,6.8,25 mph,asphalt,
way/13427781,South Rimpau Boulevard,residential,False,2,inferred,6.8,,asphalt,
way/13427782,South Rimpau Boulevard,residential,False,2,inferred,6.8,,,
way/13431469,South Harcourt Avenue,residential,False,2,inferred,6.8,,asphalt,
way/13431472,South Harcourt Avenue,residential,False,2,inferred,6.8,,,
way/13446430,West 64th Street,residential,False,2,inferred,6.8,,,
way/13448145,South Mullen Avenue,residential,False,2,inferred,6.8,,asphalt,
way/13448150,South Mullen Avenue,residential,False,2,inferred,6.8,,,
way/13470891,West 63rd Street,residential,False,2,inferred,6.8,,,
way/13470892,West 63rd Street,residential,False,2,inferred,6.8,,,
way/56242254,,service,False,1,inferred,3.4,15 mph,,
way/56242255,,service,False,1,inferred,3.4,15 mph,,
way/56242257,,service,False,1,inferred,3.4,15 mph,,
way/56242259,,service,False,1,inferred,3.4,,,
way/134118535,Crenshaw Boulevard,residential,True,2,inferred,6.8,,,
way/136732123,West 60th Street,tertiary,False,2,osm,6.8,,asphalt,
way/136732126,Crenshaw Boulevard,primary,True,4,osm,13.6,,asphalt,|||right
way/165665922,Lorado Way,residential,False,2,inferred,6.8,,,
way/165665929,Angeles Vista Boulevard,tertiary,False,4,osm,13.6,35 mph,asphalt,
way/165665937,Chesley Avenue,residential,False,2,inferred,6.8,,asphalt,
way/165665943,West Boulevard,tertiary,False,2,osm,6.8,,asphalt,
way/165665958,Hillcrest Drive,residential,False,2,inferred,6.8,,asphalt,
way/165665960,11th Avenue,residential,False,2,inferred,6.8,,asphalt,
way/165884087,6th Avenue,residential,False,2,inferred,6.8,,,
way/167009411,North Long Street,residential,False,2,inferred,6.8,,,
way/173794415,Hyde Park Boulevard,tertiary,False,2,inferred,6.8,30 mph,,
way/173879349,8th Avenue,residential,False,2,inferred,6.8,,asphalt,
way/191273242,,service,False,1,inferred,3.4,15 mph,,
way/295753825,,service,False,1,inferred,3.4,,,
way/295753829,,service,False,1,inferred,3.4,,,
way/295753830,6th Avenue,residential,False,2,inferred,6.8,,,
way/295756012,West 59th Place,residential,False,2,osm,6.8,,asphalt,
way/295757629,West 57th Street,residential,False,2,osm,6.8,,asphalt,
way/295757630,West 58th Place,residential,False,2,inferred,6.8,,asphalt,
way/398364647,West 54th Street,tertiary,False,2,osm,6.8,,asphalt,
way/398364648,West 54th Street,tertiary,False,3,osm,10.2,30 mph,,
way/398364649,West 54th Street,tertiary,False,3,osm,10.2,30 mph,,
way/398364650,West 54th Street,tertiary,False,2,osm,6.8,30 mph,,
way/398364651,West 54th Street,tertiary,False,3,osm,10.2,35 mph,asphalt,
way/398364652,West 54th Street,tertiary,False,2,osm,6.8,35 mph,asphalt,
way/398364653,West 54th Street,tertiary,False,3,osm,10.2,30 mph,,
way/398364654,West 54th Street,tertiary,False,2,osm,6.8,35 mph,asphalt,
way/398364655,West 54th Street,tertiary,False,3,osm,10.2,35 mph,asphalt,
way/398364656,West 54th Street,tertiary,False,3,osm,10.2,35 mph,,
